OR,OT
"CITY ORDINANCE NO. 51, s-2002","“AN ORDINANCE DIRECTING THE IMMEDIATE IMPLEMENTATION OF EXECUTIVE ORDER NO. 452, S-1997 ENTITLTED “ PROVIDING FOR THE GUIDELINES THAT WILL ENSURE THE SECURITY OF REGISTERED VENDORS IN THE WORKPLACE”, AND ITS IMPLEMENTING RULES AND REGULATIONS (IRR) PROMULGATED ON JUNE 25, 2001”."
"CITY ORDINANCE NO. 50 , S-2002","“AN ORDINANCE AMENDING SECTION 16 (b) OF CITY ORD. NO. 21, SERIES OF 2002, “AN ORDINANCE PROVIDING POLICIES AND GUIDELINES FOR THE ESTABLISHMENT AND OPERATION OF TAGUM CITY PEACEKEEPERS ORGANIZATION AND PROVIDING ITS DUTIES AND RESPONSIBILITIES AND FUNDS THEREOF”."
"CITY ORDINANCE NO. 45, S-2002",AN ORDINANCE ADOPTING THE REVISED COMPREHENSIVE ZONING ORDINANCE OF THE CITY OF TAGUM.
"CITY ORDINANCE NO. 29, S – 2002",“AN ORDINANCE ESTABLISHING THE ENVIRONMENT AND NATURAL RESOURCES OFFICE (ENRO) IN THE CITY OF TAGUM AND PROVIDING FUNDS THEREOF”.
"CITY ORDINANCE NO. 35, S-2002","AN ORDINANCE INSTITUTIONALIZING THE PRE-MARRIAGE COUNSELING PROGRAM OF THE CITY OF TAGUM, PROVIDING ITS POLICY, GUIDELINES AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 38, S-2002","AN ORDINANCE INSTITUTIONALIZING THE LITERACY PROGRAM OF THE CITY OF TAGUM, PROVIDING ITS POLICY, GUIDELINES AND FUNDS THEREOF."
"CITY ORDINANCE NO. 33, S-2002",AN ORDINANCE GRANTING INCREASE IN THE MONTHLY SUBSISTENCE ALLOWANCE OF BARANGAY HEALTH WORKERS IN THE CITY OF TAGUM IN THE AMOUNT OF TWO HUNDRED PESOS (P200.00) EFFECTIVE JANUARY 2003.
"CITY ORDINANCE NO. 34, s-2002","AN ORDINANCE GRANTING MEDICAL/BURIAL/FINANCIAL ASSISTANCE TO ALL BARANGAY OFFICIALS AND FUNCTIONARIES IN THE CITY OF TAGUM IN CASES OF SICKNESS, ACCIDENTS, HOSPITALIZATION, AND DEATH."
"CITY ORD. NO. 32, S-2002","“AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 17, S-1990, “AN ORDINANCE REGULATING THE DISPLAY OF STREAMERS WITHIN THE TERRITORIAL JURISDICTION OF THE MUNICIPALITY OF TAGUM”."
"CITY ORDINANCE NO. 36, S-2002",“AN ORDINANCE ADOPTING A REVISED GUIDELINES FOR THE CREATED THIRTEEN (13) LOCAL LEGISLATIVE STAFF ASSISTANT II POSITION OF THE SANGGUNIANG PANLUNGSOD OF TAGUM”.
"CITY ORDINANCE NO. 31, S-2002","“AN ORDINANCE GRANTING HONORARIUM TO THE CHAIRMAN, MEMBERS AND SUPPORT STAFF OF THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD (CTFRB) AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 27, s-2002","AN ORDINANCE FURTHER AMENDING CITY ORDINANCE NO. 46, S-1999, “AN ORDINANCE CREATING THE POSITION OF (13) LOCAL LEGISLATIVE STAFF ASSISTANT II, ALL UNDER THE SANGGUNIANG PANLUNGSOD, LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”, AS HEREBY AMENDED BY CITY ORDINANCE NO. 03, S-2000."
"CITY ORDINANCE NO. 25, S-2002","“AN ORDINANCE AMENDING SECTION II OF CITY ORDINANCE NO. 03,S-2000, OTHERWISE KNOWN AS, “AN ORDINANCE AMENDING SECTION II AND SECTION IV OF CITY ORDINANCE NO. 46, S-1999, LIKEWISE KNOWN AS, “AN ORDINANCE CREATING THE POSITION OF THIRTEEN (13) LOCAL LEGISLATIVE STAFF ASSISTANT II, ALL UNDER THE SANGGUNIANG PANLUNGSOD, LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, continue reading : CITY ORDINANCE NO. 25, S-2002"
"CITY ORDINANCE NO. 66, S. 2002",AN ORDINANCE ADOPTING THE CODE OF ECONOMIC ENTERPRISES OF TAGUM CITY”
"CITY ORDINANCE NO. 21, s-2002",“AN ORDINANCE PROVIDING POLICIES AND GUIDELINES FOR THE ESTABLISHMENT AND OPERATION OF TAGUM CITY PEACEKEEPERS ORGANIZATION AND PROVIDING ITS DUTIES AND RESPONSIBILITIES AND FUNDS THEREOF”.
"CITY ORDINANCE NO. 20, S-2002",“AN ORDINANCE AUTHORIZING THE CITY CIVIL REGISTRAR OF TAGUM CITY TO COLLECT FROM EVERY PETITIONER A CORRESPONDING FILING AND/OR SERVICE FEES AS PRESCRIBED UNDER RULE 18 OF THE RULES AND REGULATIONS GOVERNING THE IMPLEMENTATION OF R.A. 9048.”
"CITY ORDINANCE NO. 17, S – 2001","“AN ORDINANCE FURTHER AMENDING CITY ORDINANCE NO. 49, S-1999, “AN ORDINANCE ESTABLISHING AND REGULATING THE OPERATION, ADMINISTRATION AND MANAGEMENT OF TAGUM CITY TRADE CENTER”."
"CITY ORDINANCE NO. 12, s-2001","AN ORDINANCE GRANTING AMNESTY TO DELINQUENT REAL PROPERTY TAXPAYERS OF TAGUM CITY, DAVAO DEL NORTE, SUBJECT TO CERTAIN CONDITIONS HERETO STATED AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 13, S-2001",“AN ORDINANCE ADOPTING POLICIES AND GUIDELINES IN THE OPERATION OF TAGUM CITY ASPHALT AND CONCRETE BATCHING PLANT AND FOR OTHER PURPOSES”
"CITY ORDINANCE NO. 14, s-2001","AN ORDINANCE GRANTING TO MR. LORENZO Y. RUBINOS SR., REPRESENTATIVE OF NEW TAGUM CITY SPORTS CENTER INC. SITUATED AT PUROK 1, BARANGAY CANOCOTAN, THIS CITY, A FRANCHISE TO OPERATE A COCKPIT."
"CITY ORDINANCE NO. 11, s-2001","AN ORDINANCE AMENDING ITEM NO. 1, SECTION 17 OF CITY ORDINANCE NO. 49, s-1999, “AN ORDINANCE ESTABLISHING AND REGULATING THE OPERATION, ADMINISTRATION AND MANAGEMENT OF TAGUM CITY TRADE CENTER”."
"CITY ORDINANCE NO. 10, s-2001","AN ORDINANCE AMENDING SECTION 31 OF MUNICIPAL ORDINANCE NO. 25, S-1996, “AN ORDINANCE PROVIDING POLICIES, RULES AND REGULATIONS TO GOVERN THE TRANSFER, OPERATION, ADMINISTRATION AND MANAGEMENT OF THE NEW TAGUM PUBLIC MARKET AT SITIO STO. NIÑO, MAGUGPO WEST, TAGUM CITY”."
"CITY ORDINANCE NO. 08, s-2001","AN ORDINANCE INCREASING HONORARIUM OF ALL BARANGAY NUTRITION SCHOLARS OF TAGUM CITY FROM ONE THOUSAND (P 1,000.00) PESOS TO TWO THOUSAND (P 2,000.00) PESOS."
"CITY ORDINANCE NO. 06, s-2001",AN ORDINANCE PROVIDING REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF.
"CITY ORDINANCE NO. 01, s-2001",AN ORDINANCE INCREASING THE BHW UNIFORM ALLOWANCE BY FIVE HUNDRED (P500.00) PESOS FOR CALENDAR YEAR 2002.
"CITY ORDINANCE NO. 69, s-2001",AN ORDINANCE GRANTING INCREASE IN THE MONTHLY SUBSISTENCE ALLOWANCE TO BARANGAY HEALTH WORKERS IN THE CITY OF TAGUM IN THE AMOUNT OF TWO HUNDRED (P 200.00) PESOS EFFECTIVE JANUARY 2001.
"CITY ORDINANCE NO. 62, s-2001","AN ORDINANCE OFFICIALLY NAMING THE 1.25 HECTARE RESETTLEMENT AREA AT EASTERNMOST OF MAKABAYAN VILLAGE, MADAUM, TAGUM CITY AS “ELISEO V. WAKAN VILLAGE” IN HONOR AND MEMORY OF THE FORMER MAYOR OF TAGUM AND IN RECOGNITION OF HIS CONTRIBUTION TO THE GROWTH AND DEVELOPMENT OF TAGUM CITY."
"CITY ORDINANCE NO. 26, s-2002",AN ORDINANCE PROVIDING THE APPROPRIATION OF FUNDS FOR THE MONTHLY HONORARIA OF THE TWENTY FIVE (25) BOARD OF DIRECTORS OF THE TAGUM CITY FEDERATION OF SENIOR CITIZENS ASSOCIATION.
"CITY ORDINANCE NO. 66,S-2001","“AN ORDINANCE AMENDING BY DELETION NO. 17, SECTION IX OF CITY ORDINANCE NO. 01,S-1999 “AN ORDINANCE AMENDING PERMIT AND OTHER REGULATORY FEES UNDER ARTICLES 19, 31, 33, 34, 46,37, 36 AND 16 OF THE REVISED TAX ORDINANCE INCLUDING THE ANNUAL OCCUPATIONAL FEES.”"
"CITY ORDINANCE NO. 29, S-2000","“AN ORDINANCE AMEDING CITY ORD. NO. 32, S-1993 “ AN ORDINANCE BANNING THE CUTTING OF MANGROVES AND GATHERING OF CORALS, ALONG COASTAL WATERS, RIVERS AND CREEKS WITHIN THE TERRITORIAL JURISDICTION OF THE MUNICIPALITY OF TAGUM AND IMPOSING PENALTIES FOR VIOLATIONS THEREOF.”"
"CITY ORDINANCE NO. 46, s-2000",“AN ORDINANCE ENACTING THE CODE OF GENERAL ORDINANCES OF TAGUM CITY”.
"CITY ORDINANCE NO. 44, S-2000",“AN ORDINANCE GRANTING THE CHILD FRIENDLY BARANGAY AWARD TO DESERVING BARANGAYS IN THE CITY OF TAGUM AND PROVIDING FUNDS FOR THE IMPLEMENTATION THEREOF.”
"CITY ORDINANCE NO. 43, s-2000","AN ORDINANCE AMENDING SECTION 4 OF CITY ORDINANCE NO. 2, SERIES OF 1999, AN ORDINANCE PROVIDING GUIDELINES FOR THE INCREASE OF MONTHLY HONORARIUM OF DAY CARE WORKERS IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 40, s-2000","AN ORDINANCE GRANTING INCENTIVES AND RELIEF IN THE FORM OF CONDONATION OF REAL PROPERTY TAX AND/OR PENALTIES TO REAL PROPERTY OWNERS OF TAGUM CITY WHOSE PORTION/S OF THEIR PROPERTY/IES HAD BEEN UTILIZED AS ROAD RIGHT OF WAYS, DRAINAGE AND OTHER PUBLIC USE/PURPOSES, SUBJECT TO CERTAIN CONDITIONS HERETO STATED AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 60, s-2000","AN ORDINANCE GRANTING INCREASE IN THE MONTHLY HONORARIUM OF ALL QUALIFIED BARANGAY HEALTH WORKERS IN THE CITY OF TAGUM FROM SIX HUNDRED (P 600.00) PESOS TO ONE THOUSAND (P 1,000.00) PESOS AND AN ADDITIONAL FIVE HUNDRED (P 500.00) A YEAR THEREAFTER."
"CITY ORDINANCE NO. 42, S-2000","AN ORDINANCE AMENDING CITY ORDINANCE NO. 63, S-1999 ENTITLED “ AN ORDINANCE REGULATING THE CONSTRUCTION/INSTALLATION[ OF CABLE WIRES IN THE CITY OF TAGUM.”"
"CITY ORDINANCE NO. 39, S-2000",AN ORDINANCE DESIGNATING EVERY SUNDAY AS FREE MARKET DAY WHICH SHALL BE KNOWN AS TABO SA TAGUM.
"CITY ORDINANCE NO. 38, S-2000",AN ORDINANCE DECLARING THE TAGUM CITY ASPHALT AND CONCRETE BATCHING PLANT AS AN ECONOMIC ENTERPRISE AND CREATING A MARKETING AND ADVISORY COMMITTEE AND FOR OTHER PURPOSES.
"CITY ORDINANCE NO. 41, s-2000","AN ORDINANCE AMENDING SECTION 111 OF CITY ORDINANCE NO. 28, S-2000, “AN ORDINANCE AMENDING CITY ORDINANCE NO. 11, S-2000”, AN ORDINANCE CREATING THE POSITION OF CITY COOPERATIVE DEVELOPMENT OFFICER AND PROVIDING ITS FUNCTIONS, DUTIES AND RESPONSIBILITIES”."
"CITY ORDINANCE NO. 27, s-2000",AN ORDINANCE NAMING THE ROAD FROM THE JUNCTION OF MABINI STREET LEADING TO GARCIA VILLE AS “ERNESTO PUNSALAN ROAD”.
"CITY ORDINANCE NO. 26, s-2000","AN ORDINANCE NAMING THE ROAD FROM THE JUNCTION OF SOBRECAREY STREET LEADING TO PUROK ORANGE VALLEY, MAGUGPO SOUTH, TAGUM CITY AS “DR. JUAN M. GONZALES ROAD”."
"CITY ORDINANCE NO. 30,S-2000","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 07, S-1999, “AN ORDINANCE CREATING THE POSITION OF ADMINISTRATIVE OFFICER III UNDER THE OFFICE OF THE CITY VICE MAYOR AND PROVIDING FOR ITS FUNCTIONS, DUTIES AND RESPONSIBILITIES.”"
"CITY ORDINANCE NO. 28, S-2000","AN ORDINANCE AMENDING CITY ORDINANCE NO. 11, S-2000, “AN ORDINANCE CREATING THE POSITION OF CITY COOPERATIVE DEVELOPMENT OFFICER AND PROVIDNG ITS FUNCTIONS, DUTIES AND RESPONSIBILITIES."
"CITY ORDINANCE NO. 20, s-2000","AN ORDINANCE APPROVING THE REVISED CITY ORDINANCE NO. 54, S-1999, “AN ORDINANCE DECLARING THE ROUTES OPEN FOR FILCAB OPERATION IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 37, s-2000","AN ORDINANCE CREATING THE COUNCIL ON RESPONSIBLE PARENTING FOR THE CITY OF TAGUM, PROVIDING ITS COMPOSITION AND FUNCTION."
"CITY ORDINANCE NO. 24, S-2000","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 33, S-1999, PARTICULARLY SECTION 1, NO. 34.”"
"CITY ORDINANCE NO. 19, S-2000",AN ORDINANCE APPROVING THE REVISED ORDINANCE ADOPTING “TAGUM MABUHAY KA” AS THE OFFICIAL TAGUM CITY HYMN/MARCH”.
"CITY ORDINANCE NO. 16, S-2000","AN ORDINANCE AMENDING SECTION 7 (L) OF CITY ORDINANCE NO. 17, S-1999, “ AN ORDINANCE ESTABLISHING THE CITY EDUCATIONAL SCHOLARSHIP PROGRAM (CESPRO) OF THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE FOR POOR BUT DESERVING STUDENTS AND PROVIDING REGULATIONS FOR THE IMPLEMENTATION THEREOF."
"CITYORDINANCE NO. 15, S-2000","AN ORDINANCE GRANTING THE HONORARIUM TO THE NGO MEMBER OF THE LOCAL HEALTH BOARD IN THE AMOUNT OF THREE THOUSAND (P 3,000.00) PESOS MONTHLY."
"CITY ORDINANCE NO. 13, S-2000",AN ORDINANCE GRANTING HONORARIA TO THE MEMBERS AND LEGAL CONSULTANT OF THE PEOPLE’S LAW ENFORCEMENT BOARD (PLEB) AND TWO (2) SUPPORT STAFF OF THIS CITY.
"CITY ORDINANCE NO.14, S-2000","“ AN ORDINANCE AMENDING SECTION IV, LETTER B OF CITY ORDINANCE NO. 23, S-1999 “AN ORDINANCE IMPOSING FEES IN SUPPORT FOR THE CITY GOVERNMENT DRIVE OF REFORESTATION, CONSERVATION AND ENVIRONMENTAL PROTECTION.”"
"CITY ORDINANCE NO. 11, S-2000","AN ORDINANCE CREATING THE POSITION OF CITY COOPERATIVE DEVELOPMENT OFFICER AND PROVIDING FOR ITS FUNCTIONS, DUTIES AND RESPONSIBILITIES."
"CITY ORDINANCE NO. 63, S-1999",“AN ORDINANCE REGULATING THE CONSTRUCTION/INSTALLATION OF CABLE/WIRES IN THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 05, S-2000","AN ORDINANCE CREATING THE CITY INVESTMENT PROMOTION OFFICE (CIPO) INCLUDING ITS BOARD WITH THEIR RESPECTIVE COMPOSITIONS, DUTIES, FUNCTIONS AND RESPONSIBILITIES AND APPROPRIATING FUNDS THEREOF."
"CITY ORDINANCE NO. 49, S-1999","AN ORDINANCE ESTABLISHING AND REGULATING THE OPERATION, ADMINISTRATION AND MANAGEMENT OF TAGUM CITY TRADE CENTER."
"CITY ORDINANCE NO. 01, S-2000","AN ORDINANCE AMENDING CITY ORDINANCE NO. 64, S-1999 “AN ORDINANCE CREATING THE POSITION OF TWELVE (12) DRIVER 1 TO BE ASSIGNED AT THE SP LEGISLATIVE OFFICE AND APPROPRIATING FUNDS THEREOF."
"CITY ORDINANCE NO. 03, s-2000","“AN ORDINANCE AMENDING SECTION II AND SECTION IV OF CITY ORDINANCE NO. 46, S-1999, “AN ORDINANCE CREATING THE POSITION OF THIRTEEN (13) LOCAL LEGISLATIVE STAFF ASSISTANT II, ALL UNDER THE SANGGUNIANG PANLUNGSOD, LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 02, S-2000","“ AN ORDINANCE AMENDING SECTION 1, 16 OF CITY ORDINANCE NO. 33, S-1999, “ AN ORDINANCE CREATING THE OFFICE OF THE ECONOMIC ENTERPRISE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/POSITIONS, SALARY GRADES, JOB DESCRIPTIONS AND FOR OTHER PURPOSES.”"
"CITY ORDINANCE NO. 23, S-1999","AN ORDINANCE IMPOSING FEES IN SUPPORT FOR THE CITY GOVERNMENT DRIVE OF REFORESTATION, CONSERVATION AND ENVIRONMENTAL PROTECTION."
"CITY ORDINANCE NO. 70, S-1999","“AN ORDINANCE AUTHORIZING THE HON. REY T. UY, CITY MAYOR TO AUGMENT THE OVERTIME PAY OF THE CITY BUDGET OFFICE IN THE AMOUNT OF TWENTY THOUSAND PESOS (P 20,000.00) TO BE TAKEN FROM SAVINGS FOR AMELIORATION PAY UNDER MISCELLANEOUS PERSONNEL BENEFIT FUND UNDER THE EXECUTIVE DEPARTMENT.”"
"CITY ORDINANCE NO. 72, S-1999","“ AN ORDINANCE AUTHORIZING THE HON. REY T. UY, CITY MAYOR TO AUGMENT THE WATER BILLS OF THE OFFICE OF THE CITY ECONOMIC ENTERPRISE IN THE AMOUNT OF THIRTY THOUSAND PESOS (P30, 000.00) TO BE TAKEN FROM REPAIR OF GOVERNMENT BUILDING WITHIN THE SAME OFFICE.”"
"CITY ORDINANCE NO. 71, S-1999","“AN ORDINANCE AUTHORIZING THE HON. REY T. UY, CITY MAYOR TO AUGMENT THE SUPPLIES & MATERIAL IN THE AMOUNT OF EIGHT THOUSAND THIRTY EIGHT PESOS AND 10/100 (P8,038.10) TO BE TAKEN FROM TRAVELLING EXPENSES UNDER THE CITY CIVIL REGISTRAR’S OFFICE.”"
"CITY ORDINANCE NO. 69, S-1999","“AN ORDINANCE AUTHORIZING THE HON. REY T. UY, CITY MAYOR TO AUGMENT THE TRAVELLING EXPENSES OF THE CITY HEALTH OFFICE I IN THE AMOUNT OF TWO THOUSAND PESOS (P2, 000.00) TO BE TAKEN FROM REPAIR OF GOVERNMENT FACILITIES WITHIN THE SAME OFFICE.”"
"CITY ORDINANCE NO. 64, s-1999",“AN ORDINANCE CREATING THE POSITION OF TWELVE (12) DRIVER 1 TO BE ASSIGNED AT THE SP LEGISLATIVE OFFICE AND APPROPRIATING FUNDS THEREOF.”
"CITY ORDINANCE NO. 62, S-1999",“ AN ORDINANCE APPROVING AND ADOPTING THE CORPORATE SEAL OF THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 60, S-1999","AN ORDINANCE REVERTING THE AMOUNT OF SEVENTY THOUSAND (P70,000.00) PESOS TO THE UNAPPROPRIATED BALANCE AND SHALL BE MADE AVAILABLE FOR SUBSEQUENT APPROPRIATION."
"CITY ORDINANCE NO. 56, S-1999","AN ORDINANCE FURTHER AMENDING CITY ORD. NO. 27, S-1999 AS AMENDED BY CITY ORDINANCE NO. 38, S-1999, “AN ORDINANCE INCREASING THE MONTHLY HONORARIUM OF THE BARANGAY NUTRITION SCHOLARS (BNS) FROM P500.00 TO P700.00 AND PROVIDING FUNDS FOR IMPLEMENTATION THEREOF."
"CITY ORDINANCE NO. 53, S-1999","AN ORDINANCE AMENDING SECTION 3 OF CITY ORDINANCE NO. 15, S-1999, “ AN ORDINANCE CREATING THE CITY TOURISM OPERATIONS OFFICE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/SALARY GRADE, DUTIES AND RESPONSIBILIES AND APPROPRIATING FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 51, S-1999","“ AN ORDINANCE REVERTING THE AMOUNT OF THREE MILLION TWO HUNDRED THOUSAND (P3,200,000.00) PESOS TO THE UNAPPROPRIATED BALANCE AND SHALL BE MADE AVAILABLE FOR SUBSEQUENT APPROPRIATION.”"
"CITY ORDINANCE 40, S-1999","“ AN ORDINANCE AUTHORIZING THE HON. GERARDO R. RACHO, JR. CITY VICE MAYOR, TO AUGMENT THE EXPENSES OF THE LEGISLATIVE DEPARTMENT IN THE AMOUNT OF FORTY THOUSAND (P40,000.00) PESOS TO BE TAKEN FROM THE CAPITAL OUTLAY OF THE SAME OFFICE.”"
"CITY ORDINANCE NO. 50, S-1999","“ AN ORDINANCE AUTHORIZING THE HON. REY T. UY, CITY MAYOR TO AUGMENT THE CAPITAL OUTLAYS OF THE OFFICE OF THE EXECUTIVE DEPARTMENT IN THE AMOUNT OF SIX HUNDRED FORTY NINE THOUSAND NINE HUNDRED THIRTY SIX & 32/100 (P649,936.32) PESOS TO BE TAKEN FROM CAPITAL OUTLAY SAVINGS.”"
"CITY ORDINANCE NO. 48, S-1999","“ AN ORDINANCE REQUIRING SALT MANUFACTURERS, PRODUCERS, IMPORTERS, DISTRIBUTORS, RETAILERS AND SELLERS TO TREAT SALT WITH POTASSIUM IODATE/IODIDE PRIOR TO SALE, AND HOSPITALS, HOTELS, RESTAURANTS, CANTEENS, BAKESHOPS, CARENDERIA TO USE IODIZED SALT IN THE PREPARATION OF FOOD PRODUCTS AND FOR TABLE SALT, PENALIZING VIOLATIONS AND FOR OTHER PURPOSES.”"
"CITY ORDINANCE 45, S-1999","AN ORDINANCE AMENDING CITY ORDINANCE NO 03, S-1999, “AN ORDINANCE CREATING THE OFFICE OF THE ECONOMIC ENTERPRISE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/POSITION, SALARY GRADES, JOB DESCRIPTIONS, AND FOR OTHER PURPOSES”, BY ADDING NO. 40.0 ON SECTION 3.A."
"CITY ORDINANCE NO. 55, S-1999","“ AN ORDINANCE REVERTING THE AMOUNT OF NINE MILLION SIX HUNDRED FORTY THOUSAND FIVE HUNDRED TWENTY ONE (P9,640,521.00) PESOS TO THE UNAPPROPRIATED BALANCE AND SHALL BE MADE AVAILABLE FOR SUBSEQUENT APPROPRIATION. ”"
"CITY ORDINANCE NO. 46, S-1999","“AN ORDINANCE CREATING THE POSITION OF (13) LOCAL LEGISLATIVE STAFF ASSISTANT II, ALL UNDER THE SANGGUNIANG PANLUNGSOD, LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE.”"
"CITY ORDINANCE NO. 57, S-1999","AN ORDINANCE AUTHORIZING THE HONORABLE REY T. UY, CITY MAYOR, TO AUGMENT THE SUPPLIES AND MATERIALS OF THE OFFICE OF THE MUNICIPAL TRIAL COURT IN THE AMOUNT OF TWENTY THOUSAND PESOS (P 20,000.00) TO BE TAKEN FROM REPAIR AND MAINTENANCE OF VEHICLES AND OTHER OFFICE EQUIPMENT WITHIN THE SAME OFFICE."
"CITY ORDINANCE NO. 44, s-1999","AN ORDINANCE AMENDING SECTION III OF CITY ORDINANCE NO. 24, s-1999, “AN ORDINANCE CREATING THE POSITION OF CITY VETERINARIAN AND PROVIDING FOR ITS DUTIES, FUNCTIONS AND PROVIDING FUNDS THEREOF.”"
"CITY ORDINANCE NO. 43, S-1999","AN ORDINANCE AMENDING SECTION 11, LETTER A OF CITY ORDINANCE NO. 21, S-1999, “ AN ORDINANCE CREATING THE CITY PROSECUTION OFFICE SUPPORT STAFF OF THE CITY GOVERNMENT OF TAGUM (LOCAL GOVERNMENT COUNTERPART), PROVIDING ITS COMPOSITION, SALARY GRADES, JOB DESCRIPTIONS."
"CITY ORDINANCE NO. 42, S-1999","“AN ORDINANCE AMENDING ARTICLE V, SECTION 17 OF MUNICIPAL ORDINANCE NO. 03, S-1997 “AN ORDINANCE CREATING THE MUNICIPAL FRANCHISING AND REGULATORY BOARD, (MFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH) GUIDELINES, REGULATIONS, AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF.”"
"CITY ORDINANCE NO. 38, S-1999","AN ORDINANCE AMENDING SECTION 2 OF CITY ORDINANCE NO. 27, SERIES OF 1999 OTHERWISE KNOWN AS “AN ORDINANCE INCREASING THE MONTHLY HONORARIUM OF THE BARANGAY NUTRITION SCHOLARS (BNS) FROM P500.00 TO P700.00 AND PROVIDING FUNDS FOR THE IMPLEMENTATION THEREOF."
"CITY ORDINANCE 33, S-1999","“AN ORDINANCE AMENDING SECTION 3 LETTER A AND TO ADD NO. 16.3 TO SECTION 3 LETTER B OF CITY ORDINANCE NO. 3, S-1999 “ AN ORDINANCE CREATING THE OFFICE OF THE ECONOMIC ENTERPRISE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/POSITIONS, SALARY GRADE, JOB DESCRIPTIONS, AND FOR OTHER PURPOSES.”"
"CITY ORDINANCE NO. 39, S-1999","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 25, SERIES OF 1998, “AN ORDINANCE CREATING THE CITY HISTORICAL AND CULTURAL COMMISSION IN THE CITY OF TAGUM”."
"CITY ORDINANCE 35, S-1999",“AN ORDINACE GRANTING A REPRESENTATION ALLOWANCE TO ALL MUNICIPAL/CITY/REGIONAL TRIAL COURT JUDGES OF TAGUM CITY.”
"CITY ORDINANCE NO. 36, S-1999","AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 30, S-1993, “AN ORDINANCE GRANTING BURIAL ASSISTANCE IN THE AMOUNT OF FIVE THOUSAND (P5,000.00) PESOS EACH TO WORLD WAR 11 AND KOREAN WAR VETERANS WHO ARE RESIDENTS OF TAGUM, DAVAO AND APPROPRIATING FUNDS THEREOF FOR THE NECESSARY EXPENSES OF THE MUNICIPALITY OF TAGUM.”"
"CITY ORDINANCE NO. 19, S-1999","“AN ORDINANCE AMENDING SECTION 14, LETTER b, ARTICLE V OF MUNICIPAL ORDINANCE NO. 09, S-1996, “ AN ORDINANCE ESTABLISHING GUIDELINES, STANDARDS, RULES AND REGULATIONS FOR THE MANAGEMENT OF THE TAGUM OVERLAND TRANSPORT INTEGRATED TERMINAL AT STO NIÑO, BARANGAY MAGUGPO WEST, TAGUM, DAVAO.”"
"CITY ORDINANCE NO. 34, S-1999","“AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 56, S-1994, “ AN ORDINANCE ESTABLISHING A MUNICIPAL COOPERATIVE DEVELOPMENT COUNCIL.”"
"CITY ORDINANCE NO. 26, S-1999","AN ORDINANCE AMENDING SECTION 1, LETTER A OF CITY ORDINANCE NO. 42, S-1998, “AN ORDINANCE IMPOSING TOLL FEES AND OTHER CHARGES TO PASSENGER VEHICLES LIKE JEEPNEYS, BABY BUSES, VANS, CARGO TRUCKS”."
"CITY ORDINANCE NO. 30, S-1999","AN ORDINANCE CREATING THE POSITION OF THIRTEEN (13) PRIVATE SECRETARY 1, ALL UNDER THE SANGGUNIANG PANLUNGSOD LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, DUTIES AND RESPONSIBILITIES, COMPENSATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE."
